"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"660",6263,121,684.21,105.24,42.04,16.15,9.54,51.44,0.86,17.2,31,679,112,54.46,10.61,1.69,0.59,0.92,"na",131.521739130435,6.59,"1"
"661",6265,465,676.71,150.8,105.3,39.79,14.88,46.83,0.53,39.66,31,666,167,56.31,18.19,2.67,0.37,0.77,"na",603.896103896104,21.47,"1"
"662",6276,510,290.52,678.79,120.23,45.41,14.3,85.37,0.44,44.18,31,289,657,95.19,17.54,3.17,0.31,0.8,"na",637.5,26.64,"1"
"663",6308,441,1084.78,177.01,108.67,46.06,12.19,12.45,0.47,46.49,32,1064,182,18.82,14.21,3.78,0.26,0.83,"na",531.325301204819,32.28,"1"
"664",6310,534,1608.26,229.66,118.67,49.78,13.66,6.36,0.48,50.45,32,1585,238,13.76,15.38,3.64,0.27,0.87,"na",613.793103448276,35.07,"1"
"665",6326,303,753.68,1404.08,79.5,32.65,11.82,156.33,0.6,32.25,32,739,1396,150.26,14.2,2.76,0.36,0.87,"na",348.275862068966,18.05,"1"
"666",6327,269,1957.8,1432.35,73.6,27.35,12.52,10.01,0.62,27.89,32,1943,1435,14.53,15,2.18,0.46,0.84,"na",320.238095238095,12.89,"1"
"667",6331,386,1119.74,1636.59,140.61,31.17,15.77,26.33,0.25,37,32,1102,1643,18.92,21.43,1.98,0.51,0.66,"na",584.848484848485,15.57,"1"
"668",6335,340,1381.89,1863.52,93.98,38.59,11.22,159.22,0.48,37.95,32,1363,1859,161.57,13.5,3.44,0.29,0.79,"na",430.379746835443,24.45,"1"
"669",6336,486,328.9,27.49,116.71,47.08,13.14,58.92,0.45,45.65,33,318,48,61.19,16.81,3.58,0.28,0.77,"na",631.168831168831,28.84,"1"
"670",6341,503,757.35,568.31,115.74,44.07,14.53,100.41,0.47,43.66,33,748,547,110.1,16.05,3.03,0.33,0.86,"na",584.883720930233,27.61,"1"
"671",6348,495,260.01,832.18,106.67,45.55,13.84,12.9,0.55,44.64,33,238,838,15.59,15.01,3.29,0.3,0.87,"na",568.965517241379,29.63,"1"
"672",6365,429,803.46,1830.82,125.44,55.28,9.88,150.7,0.34,55.01,33,778,1819,152.97,12.22,5.59,0.18,0.79,"na",543.037974683544,42.79,"1"
"673",6368,511,1946.52,1912.64,128.37,54.85,11.86,26.13,0.39,52.84,33,1924,1925,29.48,15.26,4.62,0.22,0.78,"na",655.128205128205,37.58,"1"
"674",6376,289,809.37,775.74,76.04,31.87,11.54,79.76,0.63,31.32,34,807,791,73.3,12.46,2.76,0.36,0.9,"na",321.111111111111,18.86,"1"
"675",6402,430,1783.44,1199.99,128.67,53.83,10.17,2.9,0.33,53.24,35,1758,1205,5.39,13.85,5.29,0.19,0.69,"na",623.188405797101,39.39,"1"
"676",6412,241,1416.73,1897.91,118.23,47.85,6.41,70.77,0.22,53.49,35,1408,1925,69.19,8.85,7.46,0.13,0.68,"na",354.411764705882,44.64,"1"
"677",6419,332,752.54,573.08,88.33,36.48,11.59,64.73,0.53,36.72,36,742,589,60.64,12.97,3.15,0.32,0.86,"na",386.046511627907,23.75,"1"
"678",6470,375,112.56,1817.68,94.53,41.81,11.42,168.83,0.53,39.85,37,93,1812,162.47,12.64,3.66,0.27,0.88,"na",426.136363636364,27.21,"1"
"679",6472,535,1356.34,1888.4,125.05,55.04,12.38,166.21,0.43,51.97,37,1330,1884,168.91,13.83,4.45,0.22,0.84,"na",636.904761904762,38.14,"1"
"680",6528,551,654.92,762.48,124.91,56.07,12.51,78.9,0.44,52.17,39,648,788,77.83,13.82,4.48,0.22,0.83,"na",663.855421686747,38.35,"1"
"681",6536,373,1944.25,1161.97,94.33,40.88,11.62,114.15,0.53,40.31,39,1934,1145,119.74,13.2,3.52,0.28,0.85,"na",438.823529411765,27.11,"1"
"682",6542,315,1084.03,1847.7,81.6,33.54,11.96,88.94,0.59,33.24,39,1081,1831,96.91,12,2.81,0.36,0.88,"na",357.954545454545,21.24,"1"
"683",6543,108,659.31,1899.31,41.7,12.83,10.72,95.86,0.78,14.87,39,658,1893,109.65,11.71,1.2,0.84,0.85,"na",127.058823529412,3.16,"1"
"684",6550,316,1585.87,446.51,83.01,34.53,11.65,69.89,0.58,34,40,1577,461,61.93,12.64,2.96,0.34,0.87,"na",363.218390804598,21.36,"1"
"685",6560,153,1630.31,997.64,60.77,21.68,8.99,163.65,0.52,23.02,40,1622,989,145.62,11.38,2.41,0.41,0.75,"na",204,11.64,"1"
"686",6661,253,866.76,683.66,72.77,29.61,10.88,30.7,0.6,29.21,44,855,693,38.05,13.09,2.72,0.37,0.81,"na",312.345679012346,16.12,"1"
"687",6725,262,1338.42,248.33,62.77,20.44,16.32,19.15,0.84,21.4,46,1328,252,37.41,16.99,1.25,0.8,0.91,"na",287.912087912088,4.41,"1"
"688",6738,188,1798.26,1362.63,64.08,19.91,12.02,20.08,0.58,21.95,46,1789,1369,30.07,14.93,1.66,0.6,0.78,"na",241.025641025641,7.02,"1"
"689",6758,481,1223.07,76.55,93.15,27.9,21.95,98.01,0.7,30.68,47,1216,62,109.03,23.65,1.27,0.79,0.88,"na",546.590909090909,7.03,"1"
"690",6761,443,1570.37,101.5,101.98,29.08,19.39,32.48,0.54,35.47,47,1552,114,21.5,24.76,1.5,0.67,0.78,"na",567.948717948718,10.71,"1"
"691",6767,132,1179.5,186.87,43.46,14.66,11.46,46.16,0.88,15.81,47,1175,193,55.3,12.65,1.28,0.78,0.9,"na",146.666666666667,3.16,"1"
"692",6769,584,1576.82,210.81,154.41,42.18,17.63,27.59,0.31,45.49,47,1559,226,33.34,25.68,2.39,0.42,0.69,"na",846.376811594203,19.81,"1"
