ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
1956,131,44.042,17.356,9.61,0.849,17.72,10.0,1.806,0.554,0.919,1
6938,100,36.38,12.18,10.45,0.95,13.6,11.0,1.16,0.86,0.93,1
6896,140,45.46,15.54,11.47,0.85,17.0,12.0,1.36,0.74,0.92,1
6517,192,56.28,21.4,11.42,0.76,21.59,12.0,1.87,0.53,0.9,1
5640,116,38.97,13.75,10.74,0.96,15.62,11.0,1.28,0.78,0.96,1
5480,179,52.04,17.96,12.69,0.83,19.42,13.97,1.42,0.71,0.92,1
9291,209,57.11,21.93,12.14,0.81,23.71,13.37,1.81,0.55,0.91,1
3471,163,47.7,16.76,12.38,0.9,17.89,13.0,1.35,0.74,0.92,1
5679,123,41.46,13.73,11.4,0.9,15.0,12.44,1.2,0.83,0.9,1
9509,116,40.63,13.85,10.67,0.88,14.32,11.0,1.3,0.77,0.92,1
1020,213,55.113,19.751,13.731,0.881,20.248,14.577,1.438,0.695,0.928,1
9414,202,56.04,20.31,12.66,0.81,20.62,13.0,1.6,0.62,0.93,1
8535,166,55.46,18.46,11.45,0.68,20.88,12.0,1.61,0.62,0.88,1
1895,165,48.527,19.26,10.908,0.88,19.849,11.314,1.766,0.566,0.932,1
7455,159,48.53,17.03,11.89,0.85,17.72,12.0,1.43,0.7,0.92,1
5491,136,44.04,13.41,12.91,0.88,15.26,13.0,1.04,0.96,0.91,1
9226,150,48.63,16.37,11.67,0.8,19.21,13.0,1.4,0.71,0.9,1
5572,197,59.11,19.92,12.59,0.71,20.62,13.13,1.58,0.63,0.89,1
5945,134,43.7,15.04,11.34,0.88,16.28,12.0,1.33,0.75,0.9,1
1841,121,41.456,15.394,10.008,0.885,16.553,10.914,1.538,0.65,0.91,1
7388,235,62.18,22.15,13.51,0.76,23.6,14.97,1.64,0.61,0.88,1
1280,117,41.456,14.726,10.116,0.856,15.652,10.733,1.456,0.687,0.903,1
339,179,51.355,19.494,11.691,0.853,20.518,12.021,1.667,0.6,0.906,1
1879,123,42.527,15.829,9.894,0.855,16.401,10.607,1.6,0.625,0.888,1
8453,226,61.7,22.84,12.6,0.75,23.71,13.49,1.81,0.55,0.9,1
3537,195,53.11,18.25,13.6,0.87,19.24,14.0,1.34,0.75,0.91,1
563,217,61.113,22.204,12.443,0.73,22.472,13.339,1.784,0.56,0.884,1
1459,118,41.456,15.219,9.872,0.863,16.155,10.286,1.542,0.649,0.911,1
59,192,57.941,19.331,12.646,0.719,21.26,15.364,1.529,0.654,0.855,1
5687,144,43.7,14.51,12.63,0.95,15.81,13.0,1.15,0.87,0.92,1
1868,139,45.456,17.52,10.101,0.845,18.248,10.0,1.734,0.577,0.93,1
5863,357,86.08,32.68,13.91,0.61,33.96,15.9,2.35,0.43,0.86,1
4229,147,51.11,16.28,11.5,0.71,19.1,13.27,1.42,0.71,0.83,1
2435,197,52.77,18.909,13.265,0.889,19.209,13.435,1.425,0.702,0.925,1
1082,115,41.456,15.799,9.268,0.841,16.643,10.286,1.705,0.587,0.898,1
9251,126,46.87,14.06,11.41,0.72,16.12,12.82,1.23,0.81,0.85,1
962,178,51.355,18.225,12.435,0.848,19.925,13.416,1.466,0.682,0.901,1
7393,214,58.87,22.73,11.99,0.78,23.26,12.97,1.9,0.53,0.92,1
2479,205,55.355,20.164,12.945,0.841,21.19,13.556,1.558,0.642,0.909,1
951,204,56.042,21.782,11.924,0.816,21.587,12.0,1.827,0.547,0.934,1
1391,105,38.627,14.641,9.131,0.884,15.264,9.839,1.603,0.624,0.925,1
1603,122,44.284,16.328,9.513,0.782,17.088,10.119,1.716,0.583,0.878,1
7802,217,54.53,19.37,14.26,0.92,20.25,15.0,1.36,0.74,0.94,1
3267,183,64.184,20.002,11.649,0.558,21.954,14.735,1.717,0.582,0.753,1
6945,229,64.18,24.27,12.01,0.7,25.55,13.77,2.02,0.5,0.85,1
1249,129,45.698,17.76,9.248,0.776,18.028,9.842,1.92,0.521,0.902,1
3405,162,51.456,19.781,10.427,0.769,21.633,11.628,1.897,0.527,0.903,1
5084,130,43.7,14.17,11.68,0.86,15.65,12.48,1.21,0.82,0.88,1
2807,218,57.355,20.99,13.224,0.833,22.472,14.758,1.587,0.63,0.901,1
1605,105,38.385,14.596,9.159,0.896,14.866,9.0,1.594,0.627,0.942,1
