ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
121,359,148.995,36.103,12.661,0.203,46.69,19.283,2.851,0.351,0.512,0
123,319,140.267,33.076,12.28,0.204,49.497,22.722,2.694,0.371,0.461,0
127,405,133.681,41.468,12.435,0.285,45.804,16.367,3.335,0.3,0.677,0
129,127,43.113,15.4,10.5,0.859,16.125,11.314,1.467,0.682,0.894,0
130,47,25.556,9.837,6.084,0.904,10.63,6.934,1.617,0.618,0.895,0
134,274,132.409,36.72,9.501,0.196,51.971,18.111,3.865,0.259,0.455,0
137,49,40.284,13.365,4.668,0.379,17.0,7.603,2.863,0.349,0.576,0
138,120,47.456,17.225,8.87,0.67,18.385,9.51,1.942,0.515,0.863,1
139,56,28.385,9.905,7.198,0.873,10.44,8.0,1.376,0.727,0.875,0
144,238,63.255,20.241,14.971,0.747,20.809,16.74,1.352,0.74,0.878,0
148,85,43.113,11.491,9.419,0.575,13.892,10.6,1.22,0.82,0.769,0
151,127,81.497,24.613,6.57,0.24,28.443,10.56,3.746,0.267,0.507,0
153,42,24.385,9.777,5.47,0.888,10.296,6.364,1.788,0.559,0.875,0
156,497,134.51,37.108,17.053,0.345,39.699,19.092,2.176,0.46,0.8,0
160,449,151.238,28.309,20.195,0.247,37.802,25.443,1.402,0.713,0.698,0
164,538,180.693,37.072,18.478,0.207,39.812,22.311,2.006,0.498,0.707,0
167,324,148.853,27.997,14.735,0.184,40.706,22.511,1.9,0.526,0.541,0
168,42,37.213,8.441,6.335,0.381,11.045,7.273,1.332,0.751,0.627,0
169,219,80.569,17.71,15.745,0.424,22.204,18.783,1.125,0.889,0.735,0
171,358,120.61,30.548,14.921,0.309,37.443,17.999,2.047,0.488,0.688,0
172,44,26.728,7.638,7.334,0.774,9.899,7.0,1.041,0.96,0.917,0
173,164,66.426,18.353,11.377,0.467,22.361,14.467,1.613,0.62,0.685,1
175,47,31.556,12.277,4.874,0.593,13.892,6.261,2.519,0.397,0.825,0
176,50,38.971,16.309,3.904,0.414,17.117,5.0,4.178,0.239,0.758,0
177,232,81.497,24.69,11.964,0.439,28.284,15.0,2.064,0.485,0.727,0
178,347,119.196,29.084,15.191,0.307,32.14,17.734,1.915,0.522,0.718,0
