ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
1128,107,37.456,13.749,9.909,0.958,14.56,10.0,1.388,0
4409,123,40.63,12.63,12.4,0.94,14.21,12.0,1.02,0
9912,144,46.53,16.48,11.12,0.84,17.2,12.02,1.48,0
7985,206,58.77,21.58,12.15,0.75,22.14,13.53,1.78,0
2867,195,66.912,23.797,10.433,0.547,26.0,13.2,2.281,0
678,168,49.941,17.052,12.544,0.846,18.028,13.868,1.359,0
2770,199,65.355,24.565,10.315,0.585,26.627,11.7,2.382,0
357,253,63.841,24.58,13.106,0.78,25.08,14.142,1.876,0
8667,212,56.77,21.87,12.34,0.83,21.95,13.57,1.77,0
2503,202,54.284,19.877,12.939,0.861,20.248,13.0,1.536,0
8905,228,67.5,24.02,12.09,0.63,24.84,14.47,1.99,0
7193,210,57.94,21.92,12.2,0.79,22.47,13.66,1.8,0
1784,160,46.284,16.52,12.332,0.939,17.464,12.965,1.34,0
8087,112,45.7,13.63,10.46,0.67,16.28,11.0,1.3,0
4282,198,52.53,18.52,13.61,0.9,18.97,14.23,1.36,0
9810,199,54.04,20.39,12.43,0.86,20.88,12.0,1.64,0
45,177,52.184,21.136,10.663,0.817,21.095,11.759,1.982,0
796,194,52.87,19.412,12.724,0.872,20.248,13.0,1.526,0
5004,141,44.28,14.55,12.34,0.9,15.3,12.65,1.18,0
1276,163,47.456,16.783,12.366,0.91,18.028,13.0,1.357,0
1115,106,38.042,13.95,9.674,0.92,14.56,10.0,1.442,0
8605,115,39.21,13.73,10.67,0.94,15.0,11.0,1.29,0
662,188,52.284,19.033,12.576,0.864,20.248,13.52,1.513,0
4963,117,44.04,13.25,11.24,0.76,16.4,12.33,1.18,0
1394,114,41.456,16.235,8.941,0.834,16.553,9.487,1.816,0
8140,212,57.94,21.38,12.62,0.79,22.8,13.83,1.69,0
9016,227,61.94,24.23,11.93,0.74,25.3,12.73,2.03,0
2684,195,72.77,24.944,9.954,0.463,28.425,12.728,2.506,0
9394,198,55.36,20.64,12.21,0.81,21.47,13.0,1.69,0
1033,146,46.042,15.805,11.762,0.865,17.464,12.0,1.344,0
3349,185,59.941,21.406,11.004,0.647,22.804,11.498,1.945,0
9441,184,57.94,21.88,10.71,0.69,22.56,12.0,2.04,0
69,166,51.113,19.043,11.099,0.798,21.26,12.021,1.716,0
5529,193,54.18,18.47,13.3,0.83,19.65,13.92,1.39,0
4557,169,50.28,17.63,12.21,0.84,18.38,13.0,1.44,0
4687,209,55.7,19.92,13.36,0.85,20.25,14.0,1.49,0
8941,211,57.94,21.87,12.28,0.79,22.2,13.14,1.78,0
9398,117,41.21,14.5,10.27,0.87,15.65,11.0,1.41,0
9794,219,59.36,22.49,12.4,0.78,23.02,13.28,1.81,0
8678,106,39.8,13.33,10.13,0.84,15.62,10.85,1.32,0
4710,152,47.8,15.86,12.2,0.84,18.44,13.0,1.3,0
2500,209,54.527,20.274,13.126,0.883,20.881,14.0,1.545,0
