,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
10513,74,30.627,11.503,8.191,0.991,12.207,8.485,1.404,0.712,0.919,0
3289,222,97.64,33.177,8.52,0.293,40.817,13.416,3.894,0.257,0.587,1
8684,121,40.87,14.84,10.381,0.91,15.264,11.068,1.43,0.7,0.917,0
10401,123,58.77,23.627,6.628,0.448,25.942,9.099,3.565,0.281,0.724,1
2546,176,79.598,31.774,7.053,0.349,34.482,10.107,4.505,0.222,0.729,1
9541,232,91.154,33.508,8.816,0.351,35.903,11.595,3.801,0.263,0.67,1
8447,111,40.284,15.283,9.248,0.86,15.811,10.0,1.653,0.605,0.91,0
4392,108,38.042,13.759,9.994,0.938,14.56,10.0,1.377,0.726,0.931,0
385,228,101.497,41.612,6.976,0.278,43.966,10.672,5.965,0.168,0.632,1
5735,88,33.799,11.555,9.697,0.968,12.53,10.0,1.192,0.839,0.936,0
7399,200,107.782,41.82,6.089,0.216,48.104,10.328,6.868,0.146,0.545,1
5768,123,41.698,14.895,10.514,0.889,15.652,11.068,1.417,0.706,0.895,0
9087,98,36.042,13.548,9.21,0.948,14.318,9.944,1.471,0.68,0.916,0
3255,179,93.154,33.356,6.833,0.259,39.205,10.647,4.882,0.205,0.505,1
6365,227,105.154,32.147,8.991,0.258,43.417,13.924,3.576,0.28,0.51,1
7452,173,75.397,31.08,7.087,0.382,33.302,9.899,4.385,0.228,0.712,1
6528,150,50.77,17.665,10.811,0.731,19.416,11.981,1.634,0.612,0.867,0
1426,129,42.627,16.86,9.742,0.892,17.088,10.0,1.731,0.578,0.938,0
8260,105,38.627,14.708,9.09,0.884,15.232,9.701,1.618,0.618,0.913,0
5706,133,43.113,14.36,11.793,0.899,15.524,12.203,1.218,0.821,0.902,0
6512,142,50.527,18.076,10.002,0.699,20.248,11.142,1.807,0.553,0.861,0
9323,276,106.225,33.121,10.61,0.307,38.471,16.619,3.122,0.32,0.584,1
4147,284,93.882,37.684,9.596,0.405,40.497,11.628,3.927,0.255,0.769,-1
9828,104,37.456,13.546,9.776,0.932,14.56,10.0,1.386,0.722,0.924,0
8229,90,36.042,13.769,8.322,0.871,14.318,8.944,1.654,0.604,0.909,0
2119,100,36.627,13.23,9.624,0.937,13.928,10.0,1.375,0.727,0.922,0
10264,119,41.799,16.625,9.114,0.856,16.763,9.0,1.824,0.548,0.937,0
4218,179,57.355,22.647,10.064,0.684,24.413,12.021,2.25,0.444,0.888,1
96,141,66.426,24.74,7.256,0.402,27.313,10.198,3.409,0.293,0.657,1
3365,181,70.669,29.29,7.868,0.455,29.206,10.507,3.723,0.269,0.699,1
8880,200,76.426,30.634,8.313,0.43,32.985,10.914,3.685,0.271,0.769,1
1741,130,42.042,16.199,10.218,0.924,16.763,10.0,1.585,0.631,0.939,0
9333,225,110.912,25.135,11.398,0.23,32.558,16.467,2.205,0.453,0.473,1
10076,69,30.627,9.987,8.797,0.924,11.18,9.0,1.135,0.881,0.89,0
