ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
244,197,96.912,35.046,7.157,0.264,41.437,10.867,4.897,0.204,0.543,1
245,229,110.083,41.177,7.081,0.237,44.598,11.399,5.815,0.172,0.509,1
246,156,55.941,20.171,9.847,0.626,21.213,11.0,2.049,0.488,0.83,1
247,196,77.497,28.784,8.67,0.41,31.953,12.196,3.32,0.301,0.679,1
248,174,82.426,34.462,6.429,0.322,36.77,9.76,5.361,0.187,0.677,1
249,203,91.154,30.742,8.408,0.307,37.736,11.655,3.656,0.273,0.577,1
250,104,38.627,14.711,9.001,0.876,15.232,9.803,1.634,0.612,0.912,0
251,122,41.698,15.432,10.066,0.882,16.155,10.733,1.533,0.652,0.907,0
252,262,86.811,29.472,11.319,0.437,30.806,13.452,2.604,0.384,0.737,1
253,139,59.841,23.386,7.568,0.488,24.698,10.895,3.09,0.324,0.695,1
254,206,86.811,28.301,9.268,0.343,31.241,13.633,3.054,0.327,0.596,1
255,153,67.841,23.561,8.268,0.418,25.71,10.85,2.849,0.351,0.654,1
256,82,33.213,12.132,8.606,0.934,13.0,9.0,1.41,0.709,0.916,0
257,162,61.598,21.363,9.655,0.537,22.561,12.0,2.213,0.452,0.75,1
258,220,80.77,33.126,8.456,0.424,32.985,10.593,3.918,0.255,0.726,1
259,196,87.154,26.24,9.51,0.324,30.364,14.388,2.759,0.362,0.583,1
260,189,65.841,22.604,10.646,0.548,25.942,13.571,2.123,0.471,0.775,1
261,71,29.556,9.785,9.239,1.0,10.817,9.0,1.059,0.944,0.953,0
262,165,62.426,23.906,8.788,0.532,25.0,10.607,2.72,0.368,0.743,1
263,241,89.983,33.531,9.151,0.374,35.114,12.522,3.664,0.273,0.625,1
264,232,109.397,29.222,10.109,0.244,36.359,16.32,2.891,0.346,0.46,1
265,129,50.77,20.14,8.155,0.629,21.633,9.707,2.47,0.405,0.84,1
266,113,38.87,14.69,9.794,0.94,15.264,10.607,1.5,0.667,0.919,0
267,91,36.627,12.507,9.264,0.852,13.601,9.839,1.35,0.741,0.897,0
268,61,27.213,8.987,8.642,1.0,9.849,9.0,1.04,0.962,0.91,0
269,150,63.012,24.214,7.887,0.475,25.298,10.117,3.07,0.326,0.744,1
270,118,41.799,16.095,9.335,0.849,16.492,9.0,1.724,0.58,0.933,0
271,123,42.042,15.707,9.97,0.874,16.492,10.0,1.575,0.635,0.925,0
272,127,53.113,16.187,9.989,0.566,20.591,11.839,1.62,0.617,0.745,0
273,238,94.125,27.431,11.047,0.338,31.241,19.165,2.483,0.403,0.596,1
275,148,52.284,20.193,9.332,0.68,21.378,10.0,2.164,0.462,0.878,0
276,122,47.113,16.182,9.6,0.691,17.088,11.0,1.686,0.593,0.85,1
277,199,79.255,27.838,9.102,0.398,29.275,12.611,3.058,0.327,0.639,1
278,160,55.012,21.617,9.424,0.664,22.472,10.897,2.294,0.436,0.853,1
279,172,67.012,21.989,9.959,0.481,24.597,13.034,2.208,0.453,0.706,1
280,164,58.426,22.824,9.149,0.604,24.413,10.607,2.495,0.401,0.824,1
281,299,124.711,47.296,8.049,0.242,54.129,12.171,5.876,0.17,0.568,1
282,252,116.61,37.666,8.519,0.233,46.615,13.4,4.422,0.226,0.476,1
283,163,58.527,22.706,9.14,0.598,24.352,10.402,2.484,0.403,0.849,1
284,111,39.113,14.581,9.693,0.912,15.0,9.899,1.504,0.665,0.902,0
285,208,79.64,33.802,7.835,0.412,35.609,10.607,4.314,0.232,0.759,1
286,196,87.841,35.548,7.02,0.319,36.688,10.394,5.064,0.197,0.623,1
287,190,72.083,27.244,8.88,0.46,30.529,12.23,3.068,0.326,0.724,1
288,205,83.012,31.181,8.371,0.374,34.366,11.86,3.725,0.268,0.667,1
289,178,62.184,21.168,10.706,0.578,23.707,13.131,1.977,0.506,0.791,1
290,184,77.74,31.012,7.554,0.383,34.132,10.788,4.105,0.244,0.675,1
291,233,114.711,37.981,7.811,0.223,45.0,11.648,4.863,0.206,0.511,1
292,227,96.569,31.604,9.145,0.306,36.249,13.681,3.456,0.289,0.572,1
293,203,89.74,33.978,7.607,0.317,38.275,11.326,4.467,0.224,0.646,1
294,222,100.468,36.43,7.759,0.276,42.154,11.184,4.695,0.213,0.556,1
295,196,76.083,24.213,10.307,0.425,28.792,13.758,2.349,0.426,0.674,1
296,161,62.184,25.341,8.089,0.523,26.401,10.545,3.133,0.319,0.768,1
297,178,63.012,22.875,9.908,0.563,25.08,11.914,2.309,0.433,0.791,1
298,179,84.912,32.746,6.96,0.312,34.67,10.581,4.705,0.213,0.557,1
299,110,39.456,14.538,9.634,0.888,15.264,10.607,1.509,0.663,0.909,0
300,157,56.184,22.236,8.99,0.625,24.413,10.607,2.473,0.404,0.856,1
301,245,98.326,40.257,7.749,0.318,40.522,11.286,5.195,0.192,0.625,1
302,202,87.74,32.924,7.812,0.33,34.205,11.554,4.215,0.237,0.608,1
304,185,68.083,27.69,8.507,0.502,28.425,10.607,3.255,0.307,0.787,1
305,199,73.255,25.326,10.004,0.466,27.019,12.849,2.532,0.395,0.728,1
307,236,104.953,40.231,7.469,0.269,45.0,10.952,5.386,0.186,0.587,1
308,210,80.083,30.771,8.689,0.411,33.106,11.814,3.541,0.282,0.683,1
309,288,135.196,43.494,8.431,0.198,49.477,14.745,5.159,0.194,0.489,1
310,61,28.971,9.306,8.346,0.913,10.296,8.974,1.115,0.897,0.897,0
311,194,62.527,24.575,10.051,0.624,25.71,11.907,2.445,0.409,0.829,1
312,211,113.397,41.988,6.398,0.206,49.041,11.015,6.562,0.152,0.504,1
313,246,109.397,43.323,7.23,0.258,47.434,11.102,5.992,0.167,0.582,1
